l prec is 21
j:3.125 critical p is 0.24849891662597656
j:3.2258064516129035 critical p is 0.2155017852783203
j:3.3333333333333335 critical p is 0.2155017852783203
j:3.4482758620689653 critical p is 0.24849891662597656
j:3.571428571428571 critical p is 0.24849891662597656
j:3.7037037037037033 critical p is 0.2494983673095703
j:3.846153846153846 critical p is 0.2494983673095703
j:4.0 critical p is 0.2494983673095703
j:4.166666666666667 critical p is 0.29849815368652344
j:4.3478260869565215 critical p is 0.3065013885498047
j:4.545454545454546 critical p is 0.2995014190673828
j:4.761904761904762 critical p is 0.2954998016357422
j:5.0 critical p is 0.28949928283691406
j:5.2631578947368425 critical p is 0.26650047302246094
j:5.555555555555555 critical p is 0.24849891662597656
j:5.88235294117647 critical p is 0.21249961853027344
j:6.25 critical p is 0.19050025939941406
j:6.666666666666667 critical p is 0.17749977111816406
j:7.142857142857142 critical p is 0.1535015106201172
j:7.692307692307692 critical p is 0.13849830627441406
j:8.333333333333334 critical p is 0.13649940490722656
j:9.09090909090909 critical p is 0.13649940490722656
j:10.0 critical p is 0.13649940490722656
l prec is 21
j:3.125 critical p is 0.3625011444091797
j:3.2258064516129035 critical p is 0.3625011444091797
j:3.3333333333333335 critical p is 0.36049842834472656
j:3.4482758620689653 critical p is 0.36350059509277344
j:3.571428571428571 critical p is 0.33550071716308594
j:3.7037037037037033 critical p is 0.4745006561279297
j:3.846153846153846 critical p is 0.3065013885498047
j:4.0 critical p is 0.44249916076660156
j:4.166666666666667 critical p is 0.3534984588623047
j:4.3478260869565215 critical p is 0.3065013885498047
j:4.545454545454546 critical p is 0.2995014190673828
j:4.761904761904762 critical p is 0.2954998016357422
j:5.0 critical p is 0.28949928283691406
j:5.2631578947368425 critical p is 0.26650047302246094
j:5.555555555555555 critical p is 0.24849891662597656
j:5.88235294117647 critical p is 0.21249961853027344
j:6.25 critical p is 0.19050025939941406
j:6.666666666666667 critical p is 0.17749977111816406
j:7.142857142857142 critical p is 0.1535015106201172
j:7.692307692307692 critical p is 0.13849830627441406
j:8.333333333333334 critical p is 0.13649940490722656
j:9.09090909090909 critical p is 0.13649940490722656
j:10.0 critical p is 0.13649940490722656
l prec is 21
p:0.13 critical j is 9.999972724914551
p:0.14 critical j is 7.57565402984619
p:0.15 critical j is 7.274918937683106
p:0.16 critical j is 6.901904869079589
p:0.16999999999999998 critical j is 6.763729286193847
p:0.18 critical j is 6.56467571258545
p:0.19 critical j is 6.261158561706543
p:0.2 critical j is 5.967296791076661
p:0.21 critical j is 5.90341854095459
p:0.21999999999999997 critical j is 5.7955728530883786
p:0.22999999999999998 critical j is 5.787553977966308
p:0.24 critical j is 5.727166938781739
p:0.25 critical j is 5.483054924011231
p:0.26 critical j is 5.306148719787599
p:0.27 critical j is 5.213795280456543
p:0.27999999999999997 critical j is 5.157554054260254
p:0.29 critical j is 4.895440483093262
p:0.3 critical j is 4.058640861511231
p:0.30999999999999994 critical j is 3.8890989303588874
p:0.31999999999999995 critical j is 4.212145042419435
p:0.32999999999999996 critical j is 4.416653633117676
p:0.33999999999999997 critical j is 4.27340488433838
p:0.35 critical j is 4.307662391662598
p:0.36 critical j is 4.414144325256348
l prec is 21
p:0.1365 critical j is 7.321559333801268
p:0.14496296296296296 critical j is 7.052299690246581
p:0.15342592592592594 critical j is 6.872611427307129
p:0.1618888888888889 critical j is 6.66242961883545
p:0.17035185185185187 critical j is 6.498833656311035
p:0.17881481481481482 critical j is 6.305889701843261
p:0.18727777777777777 critical j is 6.206662940979003
p:0.19574074074074074 critical j is 6.107327079772949
p:0.20420370370370372 critical j is 6.018028450012206
p:0.21266666666666667 critical j is 5.921638298034669
p:0.22112962962962962 critical j is 5.839485740661621
p:0.2295925925925926 critical j is 5.7192571640014656
p:0.23805555555555555 critical j is 5.585772895812989
p:0.24651851851851853 critical j is 5.473617744445802
p:0.2549814814814815 critical j is 5.361626243591308
p:0.2634444444444445 critical j is 5.179265022277832
p:0.2719074074074074 critical j is 4.930407142639162
p:0.2803703703703704 critical j is 4.619252967834473
p:0.28883333333333333 critical j is 4.657601737976075
p:0.2972962962962963 critical j is 4.750227928161621
p:0.3057592592592593 critical j is 4.38261432647705
p:0.3142222222222222 critical j is 4.3772684097290036
p:0.3226851851851852 critical j is 5.156190299987793
p:0.33114814814814814 critical j is 3.9392305374145513
p:0.3396111111111111 critical j is 3.8041643142700194
p:0.3480740740740741 critical j is 3.685572242736817
p:0.356537037037037 critical j is 5.084893226623535
p:0.365 critical j is 4.697423362731934
